Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Rarely,129,Sales,6,2,Medical,1,14,3,Female,52,3,3,Sales Representative,2,Single,6449,23063,9,Y,No,23,3,4,80,0,13,1,1,6,5,1,4
58,No,Travel_Frequently,1413,Sales,17,5,Technical Degree,1,15,1,Male,54,2,1,Manager,2,Divorced,12832,21200,6,Y,No,22,3,4,80,2,14,2,2,1,1,1,1
40,No,Travel_Rarely,456,Sales,17,3,Medical,1,16,4,Female,40,3,1,Sales Executive,4,Single,7201,23154,8,Y,No,16,3,4,80,3,17,1,3,15,6,3,5
36,No,Non-Travel,779,Research & Development,25,4,Medical,1,17,3,Male,92,3,4,Research Scientist,4,Single,19999,4988,0,Y,No,16,4,3,80,3,28,3,3,13,3,3,7
28,Yes,Travel_Rarely,237,Research & Development,24,3,Medical,1,18,4,Male,86,4,3,Manufacturing Director,1,Single,19999,18222,5,Y,Yes,17,3,4,80,0,14,6,3,0,0,0,0
18,No,Travel_Rarely,1193,Research & Development,22,4,Medical,1,19,4,Male,83,3,2,Manufacturing Director,4,Divorced,9518,16889,5,Y,No,18,3,4,80,2,27,2,1,21,0,0,15
41,No,Travel_Rarely,255,Sales,13,1,Life Sciences,1,20,4,Female,39,3,3,Sales Representative,1,Married,18139,4055,1,Y,No,13,3,4,80,0,17,3,3,3,2,0,0
24,No,Non-Travel,427,Research & Development,17,4,Medical,1,21,1,Male,79,3,3,Laboratory Technician,2,Married,19999,25046,7,Y,No,13,3,3,80,0,19,2,2,7,3,0,4
42,No,Travel_Frequently,917,Sales,14,1,Life Sciences,1,22,4,Female,30,3,2,Sales Representative,4,Divorced,3968,14710,5,Y,No,20,3,4,80,0,19,1,3,14,8,1,0
38,No,Travel_Rarely,1221,Sales,2,4,Medical,1,23,4,Male,99,2,1,Sales Representative,4,Married,5457,6956,9,Y,No,23,3,3,80,0,21,6,4,7,0,0,0
32,Yes,Travel_Rarely,1322,Research & Development,26,5,Life Sciences,1,24,4,Female,59,2,4,Research Director,4,Married,8265,21153,8,Y,No,18,4,2,80,1,23,1,2,7,5,4,7
18,Yes,Travel_Rarely,209,Research & Development,19,2,Medical,1,25,1,Female,84,2,2,Manufacturing Director,3,Single,19999,20417,9,Y,No,22,3,3,80,0,3,1,3,0,0,0,0
29,Yes,Travel_Rarely,1171,Research & Development,26,2,Life Sciences,1,26,1,Female,35,2,1,Laboratory Technician,2,Single,2008,18491,4,Y,No,23,3,4,80,3,19,2,2,6,0,0,4
24,No,Non-Travel,1311,Sales,28,4,Marketing,1,27,4,Male,53,1,2,Sales Representative,4,Divorced,10374,17319,6,Y,No,24,3,4,80,1,32,3,3,18,0,0,7
32,No,Travel_Rarely,555,Research & Development,3,2,Marketing,1,28,2,Male,34,3,3,Healthcare Representative,3,Married,11982,15108,5,Y,No,23,3,4,80,2,39,2,3,28,9,9,9
38,No,Travel_Rarely,424,Research & Development,2,4,Life Sciences,1,29,1,Male,36,3,1,Research Scientist,2,Married,4207,19223,4,Y,No,17,3,1,80,1,24,1,3,6,6,6,1
36,Yes,Non-Travel,386,Sales,28,1,Life Sciences,1,30,2,Female,32,3,2,Sales Representative,3,Married,8800,16609,5,Y,Yes,20,3,3,80,1,16,4,3,7,7,1,6
46,No,Travel_Rarely,1208,Research & Development,2,2,Life Sciences,1,31,4,Male,42,3,1,Research Director,4,Married,14005,12296,3,Y,No,15,4,3,80,0,20,2,3,15,10,3,3
42,No,Travel_Rarely,751,Sales,22,5,Technical Degree,1,32,3,Male,83,4,5,Sales Executive,4,Single,10830,16734,2,Y,Yes,14,3,4,80,1,39,1,1,31,18,3,12
50,No,Travel_Rarely,1452,Sales,7,3,Medical,1,33,4,Male,92,3,1,Sales Executive,3,Single,15792,6664,0,Y,No,16,4,1,80,0,4,2,2,3,3,0,2
49,No,Travel_Rarely,850,Human Resources,4,4,Medical,1,34,2,Male,35,2,2,Manager,4,Single,2255,9803,0,Y,Yes,19,3,4,80,0,10,1,3,7,2,2,5
52,Yes,Non-Travel,550,Human Resources,17,3,Life Sciences,1,35,2,Female,76,3,4,Human Resources,1,Single,13491,5040,5,Y,No,16,3,3,80,0,27,3,3,19,2,2,9
55,Yes,Travel_Rarely,422,Research & Development,6,3,Medical,1,36,3,Male,84,3,1,Manufacturing Director,3,Divorced,13923,14905,8,Y,Yes,18,4,4,80,1,25,3,2,11,11,9,8
43,No,Travel_Rarely,1270,Research & Development,7,3,Technical Degree,1,37,3,Female,78,3,5,Laboratory Technician,3,Single,17760,5276,7,Y,No,11,3,3,80,0,12,4,2,0,0,0,0
28,No,Travel_Rarely,379,Sales,20,3,Marketing,1,38,2,Male,86,3,4,Sales Executive,1,Single,12552,21964,1,Y,No,22,3,3,80,0,31,2,2,12,11,10,12
52,Yes,Travel_Frequently,713,Research & Development,6,3,Medical,1,39,2,Male,32,3,4,Laboratory Technician,4,Married,7964,8658,8,Y,Yes,24,3,4,80,0,9,1,3,2,2,1,2
25,No,Travel_Rarely,1139,Research & Development,9,3,Life Sciences,1,40,2,Male,51,3,1,Healthcare Representative,4,Divorced,11220,22984,7,Y,No,16,3,4,80,0,27,0,2,9,0,0,5
31,No,Travel_Rarely,1387,Sales,20,3,Life Sciences,1,41,2,Male,64,3,3,Sales Executive,2,Single,5703,22556,8,Y,No,24,3,1,80,1,27,2,2,9,1,1,6
27,Yes,Non-Travel,515,Research & Development,28,2,Life Sciences,1,42,3,Male,57,3,3,Healthcare Representative,4,Single,4263,4001,3,Y,No,24,4,2,80,1,40,0,1,25,6,0,2
19,No,Travel_Rarely,595,Sales,26,4,Life Sciences,1,43,2,Female,71,2,5,Manager,3,Married,8110,6085,8,Y,Yes,12,3,4,80,3,18,2,3,8,2,2,0
26,Yes,Travel_Rarely,148,Human Resources,4,2,Life Sciences,1,44,1,Male,41,3,1,Human Resources,3,Married,14346,20125,1,Y,Yes,13,4,2,80,0,13,1,2,4,4,1,1
20,Yes,Travel_Rarely,757,Sales,26,3,Life Sciences,1,45,1,Female,30,3,3,Manager,4,Married,1519,23254,0,Y,Yes,16,4,4,80,0,10,3,3,3,1,1,2
38,Yes,Travel_Rarely,1321,Research & Development,28,2,Life Sciences,1,46,2,Male,52,3,2,Manufacturing Director,2,Divorced,18577,4757,8,Y,Yes,12,3,4,80,0,25,2,3,25,7,5,13
43,No,Travel_Rarely,1415,Research & Development,5,3,Human Resources,1,47,4,Male,57,4,1,Research Director,4,Divorced,13932,10221,9,Y,Yes,14,4,4,80,2,10,1,3,1,0,0,1
25,No,Non-Travel,870,Research & Development,19,4,Medical,1,48,2,Female,98,2,2,Manufacturing Director,2,Divorced,19874,3976,7,Y,No,16,3,3,80,0,24,2,2,7,7,6,6
19,Yes,Travel_Rarely,533,Research & Development,10,2,Technical Degree,1,49,1,Male,65,3,3,Research Scientist,4,Married,7386,18806,6,Y,No,15,3,4,80,0,4,1,3,2,2,2,2
23,Yes,Travel_Rarely,1449,Sales,18,1,Marketing,1,50,2,Male,83,3,2,Sales Representative,3,Married,7696,6461,7,Y,No,16,3,1,80,0,28,3,3,18,14,10,0
45,Yes,Travel_Rarely,1057,Human Resources,15,2,Life Sciences,1,51,3,Male,76,3,2,Human Resources,1,Single,10657,14556,0,Y,Yes,25,3,3,80,0,25,2,2,8,6,5,6
46,Yes,Travel_Frequently,1418,Research & Development,25,3,Marketing,1,52,3,Male,85,3,5,Healthcare Representative,2,Divorced,4988,12491,8,Y,No,16,3,2,80,0,7,1,4,5,4,3,1
43,No,Non-Travel,478,Human Resources,29,4,Life Sciences,1,53,2,Female,39,3,2,Human Resources,2,Married,17294,23195,9,Y,No,18,3,4,80,1,12,2,3,5,2,2,2
42,No,Travel_Rarely,1209,Research & Development,1,1,Medical,1,54,3,Male,34,3,2,Research Scientist,1,Single,3770,14522,8,Y,No,19,3,4,80,1,36,2,2,23,9,7,5
29,No,Travel_Rarely,1498,Research & Development,5,4,Life Sciences,1,55,3,Female,43,3,2,Manufacturing Director,1,Married,17953,7694,8,Y,Yes,15,3,2,80,0,15,4,3,10,8,1,10
22,No,Travel_Rarely,1149,Human Resources,5,3,Other,1,56,1,Female,53,4,2,Manager,4,Single,4954,20644,5,Y,No,16,4,2,80,1,30,6,3,16,8,6,6
51,No,Travel_Rarely,1010,Sales,8,3,Life Sciences,1,57,1,Male,92,2,3,Sales Representative,4,Married,19999,2475,3,Y,No,16,3,4,80,0,40,0,3,27,0,0,6
54,No,Travel_Rarely,426,Sales,22,5,Life Sciences,1,58,3,Female,57,3,4,Manager,4,Married,19932,13878,1,Y,No,16,3,4,80,1,33,3,3,27,18,15,0
32,Yes,Travel_Frequently,417,Sales,22,3,Human Resources,1,59,3,Male,50,2,2,Manager,4,Married,14796,17118,3,Y,Yes,12,3,3,80,2,14,2,1,5,0,0,1
53,No,Non-Travel,322,Research & Development,22,3,Life Sciences,1,60,4,Female,49,3,3,Healthcare Representative,4,Divorced,19999,11719,6,Y,Yes,14,3,4,80,2,40,1,2,32,18,13,17
32,No,Non-Travel,315,Research & Development,20,1,Marketing,1,61,2,Male,91,3,1,Manufacturing Director,1,Single,11176,22622,0,Y,No,11,3,4,80,0,9,0,3,0,0,0,0
60,No,Travel_Rarely,946,Sales,15,1,Marketing,1,62,4,Female,80,2,1,Sales Executive,4,Married,9052,5975,8,Y,No,24,3,3,80,1,22,4,3,6,2,2,6
40,Yes,Non-Travel,1210,Research & Development,17,2,Technical Degree,1,63,1,Male,69,3,2,Research Scientist,4,Married,8245,10202,2,Y,No,22,4,2,80,3,40,2,3,26,10,6,7
23,Yes,Travel_Rarely,486,Research & Development,19,1,Other,1,64,4,Male,94,2,1,Research Director,1,Married,8538,14530,3,Y,No,11,3,3,80,1,19,6,3,3,0,0,3
60,No,Travel_Rarely,1129,Sales,29,3,Other,1,65,3,Female,57,3,1,Manager,3,Divorced,13895,12490,4,Y,Yes,11,3,4,80,0,14,2,3,3,2,2,2
38,No,Travel_Rarely,1239,Research & Development,13,3,Life Sciences,1,66,3,Female,83,3,2,Research Director,3,Married,19416,8841,2,Y,No,17,3,3,80,1,18,1,3,4,4,4,2
40,Yes,Travel_Frequently,1340,Sales,26,3,Marketing,1,67,1,Male,31,3,1,Sales Representative,4,Married,4067,20677,3,Y,No,11,4,4,80,1,22,4,3,11,7,7,6
60,No,Travel_Rarely,1461,Research & Development,28,2,Medical,1,68,1,Male,43,2,2,Manufacturing Director,3,Single,19999,22010,4,Y,No,16,3,1,80,0,15,5,2,7,1,1,6
33,No,Travel_Rarely,978,Sales,27,2,Medical,1,69,3,Female,43,3,2,Sales Executive,4,Divorced,17923,4823,0,Y,Yes,12,3,4,80,0,20,4,3,16,7,4,3
32,No,Travel_Frequently,754,Human Resources,22,3,Life Sciences,1,70,1,Female,73,3,2,Manager,1,Married,9504,10881,8,Y,Yes,16,3,4,80,1,29,3,4,26,12,3,5
42,No,Travel_Rarely,1292,Research & Development,21,5,Medical,1,71,1,Female,69,2,4,Research Scientist,1,Married,6844,10132,9,Y,No,16,3,3,80,1,25,2,3,14,12,6,8
53,No,Travel_Rarely,388,Sales,10,1,Other,1,72,1,Female,63,3,3,Sales Executive,4,Single,19999,6004,9,Y,No,22,3,3,80,3,17,1,3,2,0,0,1
28,No,Travel_Rarely,485,Sales,17,4,Technical Degree,1,73,1,Female,94,2,2,Sales Representative,1,Single,19999,5590,3,Y,No,21,3,1,80,0,38,1,2,30,18,6,17
32,No,Non-Travel,1119,Research & Development,5,3,Medical,1,74,3,Female,47,3,4,Healthcare Representative,2,Married,3048,13405,8,Y,No,13,3,4,80,1,5,2,3,3,1,1,3
21,No,Non-Travel,948,Research & Development,18,3,Life Sciences,1,75,2,Male,63,3,3,Laboratory Technician,3,Divorced,9380,9596,3,Y,No,25,3,4,80,0,3,5,3,1,0,0,1
38,Yes,Travel_Rarely,618,Research & Development,17,3,Life Sciences,1,76,2,Male,78,2,1,Research Scientist,4,Married,13419,5894,0,Y,Yes,18,3,3,80,3,17,3,3,0,0,0,0
30,Yes,Travel_Frequently,228,Research & Development,4,1,Marketing,1,77,2,Female,84,2,1,Manufacturing Director,2,Divorced,3364,10256,4,Y,Yes,21,3,1,80,0,26,4,2,10,10,7,5
39,No,Travel_Rarely,1211,Sales,22,1,Marketing,1,78,4,Female,91,3,3,Sales Executive,1,Married,14785,21114,8,Y,No,14,3,2,80,0,9,2,1,0,0,0,0
36,No,Non-Travel,1170,Research & Development,7,3,Medical,1,79,4,Male,99,1,2,Research Scientist,3,Married,10495,13356,2,Y,No,23,3,3,80,0,2,3,3,1,0,0,0
51,Yes,Travel_Rarely,724,Sales,25,3,Life Sciences,1,80,3,Male,53,1,3,Manager,3,Single,19999,4917,4,Y,No,17,4,2,80,1,14,4,3,4,4,1,0
31,No,Travel_Rarely,391,Research & Development,5,4,Medical,1,81,3,Female,77,3,3,Laboratory Technician,2,Divorced,8056,3586,2,Y,Yes,14,4,3,80,0,6,2,3,4,0,0,1
21,No,Travel_Rarely,798,Research & Development,8,3,Medical,1,82,2,Male,68,3,2,Manufacturing Director,4,Single,4408,21794,2,Y,No,11,4,2,80,1,12,2,3,11,5,3,6
44,No,Travel_Rarely,1360,Research & Development,8,2,Human Resources,1,83,3,Male,77,3,5,Research Scientist,4,Divorced,19999,25253,0,Y,No,16,3,2,80,1,28,3,3,20,5,1,17
46,No,Non-Travel,258,Sales,11,4,Medical,1,84,4,Male,99,3,2,Sales Representative,4,Divorced,13542,22380,1,Y,No,15,3,3,80,0,36,3,1,18,10,8,11
45,Yes,Travel_Rarely,507,Research & Development,9,2,Life Sciences,1,85,3,Male,38,3,1,Research Scientist,1,Divorced,13968,12595,1,Y,No,19,4,4,80,0,4,6,2,3,0,0,1
52,No,Travel_Rarely,1247,Research & Development,19,3,Medical,1,86,2,Male,58,3,3,Laboratory Technician,3,Married,19999,7031,8,Y,No,25,3,3,80,0,21,2,3,3,0,0,2
25,No,Travel_Rarely,1349,Research & Development,19,3,Life Sciences,1,87,3,Male,97,3,1,Laboratory Technician,4,Married,15856,25895,6,Y,No,24,3,4,80,0,36,1,2,35,0,0,11
33,No,Non-Travel,978,Research & Development,9,4,Other,1,88,4,Male,89,4,3,Research Scientist,3,Married,10092,17950,7,Y,No,24,3,1,80,1,14,2,3,0,0,0,0
59,No,Travel_Rarely,1148,Research & Development,23,4,Life Sciences,1,89,4,Female,55,3,5,Manufacturing Director,1,Single,12810,15457,1,Y,No,25,3,3,80,1,27,2,1,25,10,5,11
53,Yes,Non-Travel,298,Research & Development,20,3,Medical,1,90,4,Male,67,3,3,Research Scientist,4,Married,19999,23062,8,Y,No,19,3,4,80,0,6,3,3,2,1,1,1
47,No,Travel_Frequently,580,Sales,17,3,Life Sciences,1,91,2,Female,91,1,2,Sales Executive,3,Single,15633,14146,2,Y,Yes,22,3,1,80,1,40,1,3,31,10,4,15
35,No,Travel_Rarely,386,Research & Development,16,5,Marketing,1,92,2,Female,55,2,2,Manufacturing Director,4,Married,5067,15777,9,Y,No,21,3,2,80,0,11,5,3,5,5,0,5
19,Yes,Travel_Frequently,409,Research & Development,7,2,Medical,1,93,4,Male,43,2,2,Research Scientist,1,Single,12730,8488,1,Y,No,23,3,1,80,1,12,4,3,7,2,0,0
30,No,Travel_Rarely,446,Research & Development,26,1,Marketing,1,94,1,Female,78,3,2,Research Director,3,Single,15132,10266,0,Y,No,18,3,3,80,3,28,1,3,15,11,8,0
21,No,Travel_Rarely,1122,Research & Development,22,2,Life Sciences,1,95,3,Male,72,3,3,Research Director,4,Married,19999,8551,8,Y,Yes,25,3,3,80,0,10,1,3,10,2,1,2
43,No,Travel_Rarely,1092,Research & Development,3,2,Life Sciences,1,96,2,Female,37,1,3,Research Director,3,Married,12103,5390,7,Y,No,17,4,1,80,1,20,3,3,4,3,3,4
42,No,Travel_Rarely,499,Research & Development,21,3,Life Sciences,1,97,3,Male,69,3,3,Laboratory Technician,2,Married,19999,24262,3,Y,Yes,24,4,1,80,1,26,4,2,10,5,0,8
47,No,Non-Travel,886,Research & Development,19,3,Medical,1,98,3,Female,54,3,1,Healthcare Representative,1,Single,9019,9317,6,Y,Yes,12,3,4,80,0,29,1,3,16,7,2,8
28,No,Non-Travel,897,Sales,8,3,Life Sciences,1,99,4,Female,92,4,2,Manager,2,Married,11785,17792,2,Y,No,24,4,3,80,1,9,1,3,0,0,0,0
24,Yes,Travel_Rarely,1240,Sales,5,1,Medical,1,100,1,Male,33,3,3,Sales Representative,2,Single,19999,13878,2,Y,No,18,3,3,80,1,7,3,3,0,0,0,0
48,Yes,Travel_Rarely,737,Sales,26,4,Technical Degree,1,101,4,Male,44,3,2,Sales Executive,4,Married,19999,14545,3,Y,No,13,3,4,80,0,14,3,3,7,4,1,7
27,No,Travel_Rarely,551,Research & Development,26,3,Technical Degree,1,102,4,Female,45,4,2,Healthcare Representative,1,Married,11783,7654,1,Y,No,16,3,2,80,1,13,2,2,0,0,0,0
56,No,Travel_Frequently,873,Research & Development,6,3,Medical,1,103,4,Female,83,4,3,Research Director,1,Married,19999,19452,9,Y,Yes,20,4,4,80,1,19,3,4,13,9,2,0
30,No,Travel_Rarely,782,Research & Development,2,3,Medical,1,104,3,Male,40,3,3,Manufacturing Director,2,Married,12845,8370,3,Y,No,17,3,4,80,2,7,5,2,2,1,1,2
48,No,Travel_Rarely,649,Human Resources,24,3,Life Sciences,1,105,3,Female,57,3,2,Human Resources,3,Married,18837,8318,9,Y,Yes,22,3,2,80,1,10,1,4,7,7,5,3
24,No,Non-Travel,330,Sales,25,2,Medical,1,106,4,Male,36,3,4,Manager,3,Married,12000,24971,2,Y,No,16,3,3,80,0,2,3,2,2,0,0,2
59,No,Travel_Rarely,345,Research & Development,19,1,Marketing,1,107,3,Female,67,3,1,Research Scientist,4,Married,9754,20148,7,Y,No,15,3,3,80,1,23,0,3,9,5,2,7
59,No,Travel_Rarely,166,Research & Development,13,4,Life Sciences,1,108,3,Male,53,2,5,Healthcare Representative,4,Married,19999,9212,1,Y,No,14,3,4,80,1,14,1,3,0,0,0,0
53,No,Travel_Frequently,1362,Sales,6,4,Medical,1,109,2,Female,97,3,1,Sales Representative,2,Married,7594,10278,8,Y,No,12,3,2,80,1,0,1,4,0,0,0,0
37,No,Non-Travel,1047,Sales,6,3,Technical Degree,1,110,1,Male,66,2,1,Sales Representative,3,Single,2881,23649,2,Y,No,19,3,4,80,2,19,2,3,0,0,0,0
21,No,Travel_Rarely,1128,Sales,2,1,Technical Degree,1,111,2,Male,64,2,4,Manager,2,Married,19250,25115,3,Y,No,24,3,4,80,2,35,4,3,33,8,7,15
24,No,Travel_Rarely,1162,Sales,26,3,Life Sciences,1,112,3,Male,35,2,1,Manager,1,Married,12967,6899,9,Y,No,17,3,4,80,0,5,3,3,1,1,0,0
18,No,Travel_Rarely,1103,Human Resources,24,4,Medical,1,113,3,Male,62,3,3,Manager,3,Single,14162,25239,9,Y,Yes,17,3,4,80,0,19,2,1,15,3,1,13
59,No,Travel_Rarely,1375,Research & Development,5,4,Life Sciences,1,114,1,Male,83,2,3,Research Director,4,Single,6829,21281,2,Y,No,14,3,4,80,1,3,0,3,0,0,0,0
30,Yes,Non-Travel,104,Research & Development,11,1,Life Sciences,1,115,4,Male,43,3,4,Manufacturing Director,1,Single,19999,22294,2,Y,No,24,3,4,80,1,16,3,3,0,0,0,0
39,Yes,Travel_Rarely,1360,Research & Development,11,1,Technical Degree,1,116,3,Female,48,3,5,Research Scientist,1,Divorced,17960,17402,7,Y,No,15,4,2,80,1,28,1,3,9,9,1,3
38,Yes,Travel_Rarely,1056,Research & Development,24,4,Marketing,1,117,3,Male,40,3,2,Laboratory Technician,4,Married,4397,7227,7,Y,Yes,16,4,4,80,0,21,2,3,8,0,0,5
39,No,Travel_Rarely,1376,Sales,14,3,Marketing,1,118,4,Male,100,4,3,Sales Executive,3,Single,8888,15790,5,Y,Yes,22,3,4,80,0,39,3,3,32,18,13,17
45,No,Non-Travel,244,Research & Development,13,2,Life Sciences,1,119,2,Male,74,2,1,Research Scientist,3,Married,8521,16142,3,Y,No,21,3,3,80,0,32,5,3,31,18,15,12
26,No,Travel_Rarely,1181,Research & Development,8,1,Technical Degree,1,120,4,Male,89,4,2,Manufacturing Director,3,Married,5315,17654,0,Y,No,22,3,1,80,1,25,1,3,18,15,0,15
43,No,Travel_Rarely,162,Research & Development,15,3,Medical,1,121,3,Male,87,2,4,Laboratory Technician,4,Divorced,19999,12498,3,Y,No,12,3,3,80,0,11,3,4,11,3,3,8
26,No,Non-Travel,169,Research & Development,12,4,Life Sciences,1,122,3,Male,53,4,2,Research Director,2,Single,5435,14942,7,Y,Yes,14,4,1,80,1,10,0,3,7,1,0,1
32,Yes,Travel_Rarely,180,Research & Development,3,5,Medical,1,123,2,Male,40,2,2,Manufacturing Director,2,Single,12351,22557,5,Y,Yes,25,3,3,80,3,23,3,3,5,0,0,5
27,No,Non-Travel,1452,Sales,21,3,Life Sciences,1,124,2,Male,73,3,2,Sales Executive,1,Divorced,10519,10867,1,Y,No,23,3,3,80,0,35,3,3,31,2,1,17
41,Yes,Travel_Rarely,468,Sales,23,3,Marketing,1,125,3,Male,95,1,3,Manager,4,Single,4813,18337,2,Y,No,14,3,4,80,0,15,4,1,11,6,6,2
59,Yes,Travel_Rarely,1059,Research & Development,5,1,Medical,1,126,2,Male,74,3,5,Laboratory Technician,2,Single,16906,8356,6,Y,No,22,3,2,80,0,29,3,2,10,10,4,9
25,Yes,Travel_Frequently,627,Research & Development,6,3,Life Sciences,1,127,2,Male,61,2,1,Laboratory Technician,4,Divorced,9215,9912,3,Y,Yes,23,3,4,80,0,21,2,2,3,3,2,3
41,Yes,Non-Travel,491,Research & Development,2,3,Life Sciences,1,128,4,Male,46,3,2,Manufacturing Director,4,Married,13514,18208,3,Y,No,14,4,1,80,0,11,2,2,0,0,0,0
33,No,Travel_Rarely,1414,Sales,8,3,Life Sciences,1,129,3,Female,83,3,4,Sales Executive,2,Single,19628,17122,4,Y,No,17,3,3,80,1,40,1,1,31,18,15,1
43,No,Travel_Rarely,622,Research & Development,5,3,Life Sciences,1,130,4,Male,39,4,2,Healthcare Representative,1,Single,8971,22035,7,Y,No,23,3,3,80,1,4,3,3,4,1,1,2
44,No,Travel_Rarely,354,Research & Development,22,2,Medical,1,131,3,Female,35,3,1,Research Scientist,3,Single,6912,25828,6,Y,Yes,17,3,3,80,0,13,4,3,7,6,1,7
54,Yes,Travel_Rarely,1220,Sales,17,1,Technical Degree,1,132,3,Male,49,3,2,Sales Representative,2,Single,5067,4476,8,Y,No,17,3,4,80,1,16,3,3,0,0,0,0
21,No,Travel_Rarely,104,Sales,26,3,Life Sciences,1,133,4,Female,30,2,2,Sales Executive,4,Divorced,5871,24159,4,Y,No,17,3,4,80,2,22,3,3,21,8,1,9
41,No,Travel_Rarely,797,Research & Development,2,1,Life Sciences,1,134,4,Female,93,3,1,Manufacturing Director,3,Married,6181,18708,0,Y,No,12,3,4,80,0,10,2,3,0,0,0,0
36,No,Travel_Rarely,147,Human Resources,11,2,Medical,1,135,2,Male,30,2,4,Human Resources,2,Married,18584,8548,3,Y,No,15,3,3,80,2,27,2,2,21,11,8,7
53,No,Travel_Rarely,754,Research & Development,4,5,Marketing,1,136,4,Female,90,3,2,Manufacturing Director,3,Divorced,16270,20361,5,Y,No,20,3,4,80,0,17,2,2,1,0,0,0
56,No,Non-Travel,626,Research & Development,11,3,Life Sciences,1,137,2,Male,30,2,4,Laboratory Technician,1,Married,19999,12197,5,Y,No,12,3,3,80,0,28,1,3,26,18,4,17
27,Yes,Travel_Rarely,519,Research & Development,9,3,Life Sciences,1,138,1,Male,75,3,3,Laboratory Technician,3,Single,1484,8125,8,Y,No,15,3,1,80,1,21,2,3,16,4,4,0
42,No,Travel_Rarely,1103,Research & Development,6,4,Medical,1,139,3,Female,89,3,3,Healthcare Representative,1,Married,19999,6270,9,Y,No,22,3,4,80,0,11,4,3,1,1,1,1
35,No,Travel_Rarely,1168,Human Resources,24,5,Life Sciences,1,140,4,Female,72,3,1,Human Resources,3,Divorced,8954,12241,4,Y,No,16,3,4,80,0,27,2,3,10,9,8,6
