date,category,sales_amount,units_sold,profit,is_promotion,day_of_week,month,quarter,year
2022-03-19,Electronics,55541.46,3266,25250.89,False,5,3,1,2022
2022-03-20,Electronics,57215.62,3364,26012.01,False,6,3,1,2022
2022-03-21,Electronics,42783.51,2516,19450.72,False,0,3,1,2022
2022-03-22,Electronics,49237.71,2895,22385.0,False,1,3,1,2022
2022-03-23,Electronics,51522.95,3029,23423.95,False,2,3,1,2022
2022-03-24,Electronics,55712.07,3276,25328.45,False,3,3,1,2022
2022-03-25,Electronics,48991.68,2881,22273.15,False,4,3,1,2022
2022-03-26,Electronics,55902.59,3287,25415.07,False,5,3,1,2022
2022-03-27,Electronics,57281.65,3368,26042.03,False,6,3,1,2022
2022-03-28,Electronics,54806.4,3223,24916.71,False,0,3,1,2022
2022-03-29,Electronics,53017.97,3117,24103.63,False,1,3,1,2022
2022-03-30,Electronics,50277.55,2956,22857.75,False,2,3,1,2022
2022-03-31,Electronics,54191.95,3186,24637.36,False,3,3,1,2022
2022-04-01,Electronics,52998.49,3116,24094.77,False,4,4,2,2022
2022-04-02,Electronics,64249.7,3778,29209.93,False,5,4,2,2022
2022-04-03,Electronics,64819.38,3811,29468.92,True,6,4,2,2022
2022-04-04,Electronics,52297.26,3075,23775.97,False,0,4,2,2022
2022-04-05,Electronics,52331.86,3077,23791.7,False,1,4,2,2022
2022-04-06,Electronics,48841.2,2872,22204.74,False,2,4,2,2022
2022-04-07,Electronics,55258.21,3249,25122.11,False,3,4,2,2022
2022-04-08,Electronics,55392.75,3257,25183.28,False,4,4,2,2022
2022-04-09,Electronics,62963.42,3702,28625.14,False,5,4,2,2022
2022-04-10,Electronics,62417.76,3670,28377.07,False,6,4,2,2022
2022-04-11,Electronics,50290.32,2957,22863.55,False,0,4,2,2022
2022-04-12,Electronics,54024.44,3177,24561.2,False,1,4,2,2022
2022-04-13,Electronics,54548.46,3207,24799.44,False,2,4,2,2022
2022-04-14,Electronics,53189.89,3127,24181.79,False,3,4,2,2022
2022-04-15,Electronics,55681.82,3274,25314.7,False,4,4,2,2022
2022-04-16,Electronics,66381.48,3903,30179.1,False,5,4,2,2022
2022-04-17,Electronics,71851.22,4225,32665.81,False,6,4,2,2022
2022-04-18,Electronics,57593.63,3386,26183.87,False,0,4,2,2022
2022-04-19,Electronics,58126.23,3418,26426.0,False,1,4,2,2022
2022-04-20,Electronics,57204.75,3364,26007.07,False,2,4,2,2022
2022-04-21,Electronics,50988.35,2998,23180.9,False,3,4,2,2022
2022-04-22,Electronics,57848.19,3401,26299.6,False,4,4,2,2022
2022-04-23,Electronics,67113.28,3946,30511.8,False,5,4,2,2022
2022-04-24,Electronics,75791.95,4456,34457.39,False,6,4,2,2022
2022-04-25,Electronics,57967.16,3408,26353.69,False,0,4,2,2022
2022-04-26,Electronics,59925.02,3524,27243.79,False,1,4,2,2022
2022-04-27,Electronics,58975.23,3468,26811.99,False,2,4,2,2022
2022-04-28,Electronics,55231.35,3248,25109.9,False,3,4,2,2022
2022-04-29,Electronics,63544.44,3736,28889.29,False,4,4,2,2022
2022-04-30,Electronics,71361.73,4196,32443.28,False,5,4,2,2022
2022-05-01,Electronics,71749.7,4219,32619.66,False,6,5,2,2022
2022-05-02,Electronics,57016.76,3353,25921.6,False,0,5,2,2022
2022-05-03,Electronics,65323.1,3841,29697.93,False,1,5,2,2022
2022-05-04,Electronics,55718.15,3276,25331.22,False,2,5,2,2022
2022-05-05,Electronics,68970.85,4055,31356.31,True,3,5,2,2022
2022-05-06,Electronics,68706.47,4040,31236.11,False,4,5,2,2022
2022-05-07,Electronics,66963.41,3937,30443.66,False,5,5,2,2022
2022-05-08,Electronics,68679.71,4038,31223.95,False,6,5,2,2022
2022-05-09,Electronics,61992.44,3645,28183.7,False,0,5,2,2022
2022-05-10,Electronics,60077.5,3532,27313.11,False,1,5,2,2022
2022-05-11,Electronics,62808.95,3693,28554.91,True,2,5,2,2022
2022-05-12,Electronics,62463.52,3673,28397.87,False,3,5,2,2022
2022-05-13,Electronics,58693.28,3451,26683.8,False,4,5,2,2022
2022-05-14,Electronics,73643.36,4330,33480.58,False,5,5,2,2022
2022-05-15,Electronics,68977.25,4056,31359.22,False,6,5,2,2022
2022-05-16,Electronics,68382.49,4021,31088.82,False,0,5,2,2022
2022-05-17,Electronics,60392.66,3551,27456.39,False,1,5,2,2022
2022-05-18,Electronics,62180.21,3656,28269.07,False,2,5,2,2022
2022-05-19,Electronics,66325.12,3900,30153.48,False,3,5,2,2022
2022-05-20,Electronics,59337.14,3489,26976.52,False,4,5,2,2022
2022-05-21,Electronics,74177.01,4362,33723.19,False,5,5,2,2022
2022-05-22,Electronics,78141.31,4595,35525.49,False,6,5,2,2022
2022-05-23,Electronics,58502.62,3440,26597.12,False,0,5,2,2022
2022-05-24,Electronics,64929.99,3818,29519.21,False,1,5,2,2022
2022-05-25,Electronics,65345.16,3842,29707.96,False,2,5,2,2022
2022-05-26,Electronics,67320.55,3958,30606.03,False,3,5,2,2022
2022-05-27,Electronics,60400.21,3551,27459.83,False,4,5,2,2022
2022-05-28,Electronics,69980.81,4115,31815.47,False,5,5,2,2022
2022-05-29,Electronics,76588.87,4503,34819.7,False,6,5,2,2022
2022-05-30,Electronics,66185.49,3892,30090.0,False,0,5,2,2022
2022-05-31,Electronics,66155.0,3890,30076.13,False,1,5,2,2022
2022-06-01,Electronics,66619.73,3917,30287.41,False,2,6,2,2022
2022-06-02,Electronics,63152.59,3713,28711.14,False,3,6,2,2022
2022-06-03,Electronics,66467.71,3908,30218.3,False,4,6,2,2022
2022-06-04,Electronics,76665.34,4508,34854.46,False,5,6,2,2022
2022-06-05,Electronics,73271.98,4308,33311.74,False,6,6,2,2022
2022-06-06,Electronics,72530.98,4265,32974.85,False,0,6,2,2022
2022-06-07,Electronics,67767.62,3985,30809.28,False,1,6,2,2022
2022-06-08,Electronics,62044.62,3648,28207.43,False,2,6,2,2022
2022-06-09,Electronics,68613.62,4034,31193.9,False,3,6,2,2022
2022-06-10,Electronics,63002.3,3704,28642.82,False,4,6,2,2022
2022-06-11,Electronics,79239.22,4659,36024.63,False,5,6,2,2022
2022-06-12,Electronics,80644.15,4742,36663.36,False,6,6,2,2022
2022-06-13,Electronics,63814.28,3752,29011.97,False,0,6,2,2022
2022-06-14,Electronics,76819.49,4517,34924.55,True,1,6,2,2022
2022-06-15,Electronics,68295.76,4016,31049.39,False,2,6,2,2022
2022-06-16,Electronics,69805.11,4104,31735.59,False,3,6,2,2022
2022-06-17,Electronics,73640.0,4330,33479.05,False,4,6,2,2022
2022-06-18,Electronics,76272.79,4485,34676.0,False,5,6,2,2022
2022-06-19,Electronics,74569.73,4385,33901.73,False,6,6,2,2022
2022-06-20,Electronics,64086.59,3768,29135.77,False,0,6,2,2022
2022-06-21,Electronics,71129.56,4182,32337.72,True,1,6,2,2022
2022-06-22,Electronics,67044.7,3942,30480.62,False,2,6,2,2022
2022-06-23,Electronics,68560.59,4031,31169.79,False,3,6,2,2022
2022-06-24,Electronics,68383.42,4021,31089.24,False,4,6,2,2022
2022-06-25,Electronics,80474.03,4732,36586.01,False,5,6,2,2022
2022-06-26,Electronics,77671.96,4567,35312.1,False,6,6,2,2022
2022-06-27,Electronics,72626.45,4270,33018.26,False,0,6,2,2022
2022-06-28,Electronics,66647.07,3919,30299.84,False,1,6,2,2022
2022-06-29,Electronics,77124.72,4535,35063.31,False,2,6,2,2022
2022-06-30,Electronics,69821.21,4105,31742.91,False,3,6,2,2022
2022-07-01,Electronics,64655.07,3802,29394.22,False,4,7,3,2022
2022-07-02,Electronics,74078.55,4356,33678.43,False,5,7,3,2022
2022-07-03,Electronics,79534.6,4677,36158.92,False,6,7,3,2022
2022-07-04,Electronics,66923.3,3935,30425.43,False,0,7,3,2022
2022-07-05,Electronics,70214.26,4129,31921.6,False,1,7,3,2022
2022-07-06,Electronics,69377.98,4079,31541.4,False,2,7,3,2022
2022-07-07,Electronics,67469.71,3967,30673.84,False,3,7,3,2022
2022-07-08,Electronics,64760.39,3808,29442.1,False,4,7,3,2022
2022-07-09,Electronics,72576.42,4267,32995.51,False,5,7,3,2022
2022-07-10,Electronics,76307.3,4487,34691.69,False,6,7,3,2022
2022-07-11,Electronics,70699.97,4157,32142.42,False,0,7,3,2022
2022-07-12,Electronics,68438.02,4024,31114.07,False,1,7,3,2022
2022-07-13,Electronics,63311.4,3723,28783.34,False,2,7,3,2022
2022-07-14,Electronics,68257.14,4013,31031.83,False,3,7,3,2022
2022-07-15,Electronics,68975.87,4056,31358.59,False,4,7,3,2022
2022-07-16,Electronics,82420.84,4846,37471.09,True,5,7,3,2022
2022-07-17,Electronics,78243.62,4601,35572.0,False,6,7,3,2022
2022-07-18,Electronics,67740.42,3983,30796.92,False,0,7,3,2022
2022-07-19,Electronics,63499.75,3734,28868.97,False,1,7,3,2022
2022-07-20,Electronics,68712.73,4040,31238.96,False,2,7,3,2022
2022-07-21,Electronics,69380.45,4079,31542.52,False,3,7,3,2022
2022-07-22,Electronics,71162.55,4184,32352.72,False,4,7,3,2022
2022-07-23,Electronics,88851.89,5224,40394.85,True,5,7,3,2022
2022-07-24,Electronics,72539.93,4265,32978.92,False,6,7,3,2022
2022-07-25,Electronics,63933.86,3759,29066.33,False,0,7,3,2022
2022-07-26,Electronics,68961.08,4055,31351.87,False,1,7,3,2022
2022-07-27,Electronics,68896.01,4051,31322.28,False,2,7,3,2022
2022-07-28,Electronics,68836.86,4048,31295.39,False,3,7,3,2022
2022-07-29,Electronics,80452.36,4730,36576.16,False,4,7,3,2022
2022-07-30,Electronics,78931.52,4641,35884.74,False,5,7,3,2022
2022-07-31,Electronics,80825.14,4752,36745.64,False,6,7,3,2022
2022-08-01,Electronics,70091.01,4121,31865.57,False,0,8,3,2022
2022-08-02,Electronics,68954.53,4054,31348.89,False,1,8,3,2022
2022-08-03,Electronics,65491.25,3851,29774.37,False,2,8,3,2022
2022-08-04,Electronics,69168.52,4067,31446.17,False,3,8,3,2022
2022-08-05,Electronics,63722.12,3747,28970.07,False,4,8,3,2022
2022-08-06,Electronics,75461.42,4437,34307.12,False,5,8,3,2022
2022-08-07,Electronics,82106.57,4828,37328.22,True,6,8,3,2022
2022-08-08,Electronics,66443.33,3907,30207.22,False,0,8,3,2022
2022-08-09,Electronics,74163.18,4361,33716.9,False,1,8,3,2022
2022-08-10,Electronics,59429.23,3494,27018.39,False,2,8,3,2022
2022-08-11,Electronics,68267.06,4014,31036.34,False,3,8,3,2022
2022-08-12,Electronics,60118.91,3535,27331.94,False,4,8,3,2022
2022-08-13,Electronics,73856.65,4343,33577.55,False,5,8,3,2022
2022-08-14,Electronics,79197.76,4657,36005.78,False,6,8,3,2022
2022-08-15,Electronics,65670.25,3861,29855.75,False,0,8,3,2022
2022-08-16,Electronics,61562.96,3620,27988.45,False,1,8,3,2022
2022-08-17,Electronics,62719.32,3688,28514.17,False,2,8,3,2022
2022-08-18,Electronics,67487.35,3968,30681.86,False,3,8,3,2022
2022-08-19,Electronics,62436.47,3671,28385.57,False,4,8,3,2022
2022-08-20,Electronics,75363.74,4431,34262.72,False,5,8,3,2022
2022-08-21,Electronics,74628.06,4388,33928.25,False,6,8,3,2022
2022-08-22,Electronics,62353.31,3666,28347.77,False,0,8,3,2022
2022-08-23,Electronics,72014.68,4234,32740.13,False,1,8,3,2022
2022-08-24,Electronics,66604.94,3916,30280.69,False,2,8,3,2022
2022-08-25,Electronics,57172.01,3362,25992.19,False,3,8,3,2022
2022-08-26,Electronics,64784.86,3809,29453.23,False,4,8,3,2022
2022-08-27,Electronics,71287.29,4192,32409.43,False,5,8,3,2022
2022-08-28,Electronics,76436.89,4494,34750.6,False,6,8,3,2022
2022-08-29,Electronics,60966.74,3585,27717.39,False,0,8,3,2022
2022-08-30,Electronics,63205.77,3716,28735.32,False,1,8,3,2022
2022-08-31,Electronics,65240.36,3836,29660.31,False,2,8,3,2022
2022-09-01,Electronics,66367.43,3902,30172.71,False,3,9,3,2022
2022-09-02,Electronics,65319.57,3841,29696.32,True,4,9,3,2022
2022-09-03,Electronics,71351.43,4195,32438.59,False,5,9,3,2022
2022-09-04,Electronics,70700.28,4157,32142.56,False,6,9,3,2022
2022-09-05,Electronics,60497.61,3557,27504.11,False,0,9,3,2022
2022-09-06,Electronics,68822.76,4047,31288.98,False,1,9,3,2022
2022-09-07,Electronics,63919.69,3758,29059.89,False,2,9,3,2022
2022-09-08,Electronics,57946.98,3407,26344.51,False,3,9,3,2022
2022-09-09,Electronics,65429.72,3847,29746.4,False,4,9,3,2022
2022-09-10,Electronics,78812.28,4634,35830.53,False,5,9,3,2022
2022-09-11,Electronics,74832.66,4400,34021.27,False,6,9,3,2022
2022-09-12,Electronics,56467.18,3320,25671.75,False,0,9,3,2022
2022-09-13,Electronics,59945.09,3525,27252.91,False,1,9,3,2022
2022-09-14,Electronics,65928.63,3877,29973.22,False,2,9,3,2022
2022-09-15,Electronics,58871.79,3462,26764.96,False,3,9,3,2022
2022-09-16,Electronics,62755.93,3690,28530.81,False,4,9,3,2022
2022-09-17,Electronics,72925.93,4288,33154.41,False,5,9,3,2022
2022-09-18,Electronics,66802.04,3928,30370.3,False,6,9,3,2022
2022-09-19,Electronics,66631.27,3918,30292.66,True,0,9,3,2022
2022-09-20,Electronics,49272.28,2897,22400.72,False,1,9,3,2022
2022-09-21,Electronics,56884.82,3345,25861.62,False,2,9,3,2022
2022-09-22,Electronics,59439.74,3495,27023.17,False,3,9,3,2022
2022-09-23,Electronics,55810.2,3282,25373.06,False,4,9,3,2022
2022-09-24,Electronics,74749.51,4395,33983.47,False,5,9,3,2022
2022-09-25,Electronics,63862.9,3755,29034.07,False,6,9,3,2022
2022-09-26,Electronics,58199.94,3422,26459.51,False,0,9,3,2022
2022-09-27,Electronics,60052.61,3531,27301.8,False,1,9,3,2022
2022-09-28,Electronics,64494.87,3792,29321.39,False,2,9,3,2022
2022-09-29,Electronics,54280.8,3192,24677.75,False,3,9,3,2022
2022-09-30,Electronics,63233.87,3718,28748.1,False,4,9,3,2022
2022-10-01,Electronics,67908.73,3993,30873.43,False,5,10,4,2022
2022-10-02,Electronics,64274.13,3779,29221.03,False,6,10,4,2022
2022-10-03,Electronics,60353.69,3549,27438.68,False,0,10,4,2022
2022-10-04,Electronics,59292.44,3486,26956.2,False,1,10,4,2022
2022-10-05,Electronics,56355.26,3314,25620.87,False,2,10,4,2022
2022-10-06,Electronics,64393.26,3786,29275.19,True,3,10,4,2022
2022-10-07,Electronics,56830.85,3342,25837.08,False,4,10,4,2022
2022-10-08,Electronics,73821.35,4341,33561.5,True,5,10,4,2022
2022-10-09,Electronics,68910.62,4052,31328.93,False,6,10,4,2022
2022-10-10,Electronics,63323.71,3723,28788.94,False,0,10,4,2022
2022-10-11,Electronics,53307.08,3134,24235.07,False,1,10,4,2022
2022-10-12,Electronics,64973.12,3820,29538.81,False,2,10,4,2022
2022-10-13,Electronics,50544.61,2972,22979.16,False,3,10,4,2022
2022-10-14,Electronics,56716.48,3335,25785.09,False,4,10,4,2022
2022-10-15,Electronics,67747.11,3983,30799.96,False,5,10,4,2022
2022-10-16,Electronics,66526.31,3912,30244.94,False,6,10,4,2022
2022-10-17,Electronics,54689.67,3216,24863.64,False,0,10,4,2022
2022-10-18,Electronics,56017.66,3294,25467.38,False,1,10,4,2022
2022-10-19,Electronics,54899.22,3228,24958.9,False,2,10,4,2022
2022-10-20,Electronics,54442.32,3201,24751.18,False,3,10,4,2022
2022-10-21,Electronics,59360.86,3490,26987.31,False,4,10,4,2022
2022-10-22,Electronics,65961.48,3878,29988.15,False,5,10,4,2022
2022-10-23,Electronics,68613.57,4034,31193.88,True,6,10,4,2022
2022-10-24,Electronics,59193.53,3481,26911.23,False,0,10,4,2022
2022-10-25,Electronics,57010.28,3352,25918.66,False,1,10,4,2022
2022-10-26,Electronics,64254.25,3778,29211.99,True,2,10,4,2022
2022-10-27,Electronics,57924.21,3406,26334.16,False,3,10,4,2022
2022-10-28,Electronics,52715.1,3100,23965.93,False,4,10,4,2022
2022-10-29,Electronics,61881.44,3639,28133.24,False,5,10,4,2022
2022-10-30,Electronics,66343.17,3901,30161.68,False,6,10,4,2022
2022-10-31,Electronics,57454.42,3378,26120.58,False,0,10,4,2022
2022-11-01,Electronics,55150.08,3243,25072.95,False,1,11,4,2022
2022-11-02,Electronics,55541.36,3266,25250.84,False,2,11,4,2022
2022-11-03,Electronics,59512.45,3499,27056.22,False,3,11,4,2022
2022-11-04,Electronics,58377.8,3433,26540.38,True,4,11,4,2022
2022-11-05,Electronics,65012.9,3823,29556.9,False,5,11,4,2022
2022-11-06,Electronics,62295.43,3663,28321.45,False,6,11,4,2022
2022-11-07,Electronics,53943.45,3172,24524.38,False,0,11,4,2022
2022-11-08,Electronics,58473.72,3438,26583.98,False,1,11,4,2022
2022-11-09,Electronics,57442.29,3378,26115.06,False,2,11,4,2022
2022-11-10,Electronics,57328.68,3371,26063.41,False,3,11,4,2022
2022-11-11,Electronics,58981.38,3468,26814.78,False,4,11,4,2022
2022-11-12,Electronics,62571.19,3679,28446.82,False,5,11,4,2022
2022-11-13,Electronics,64811.41,3811,29465.3,False,6,11,4,2022
2022-11-14,Electronics,53135.61,3124,24157.11,False,0,11,4,2022
2022-11-15,Electronics,55298.33,3251,25140.35,False,1,11,4,2022
2022-11-16,Electronics,53653.39,3155,24392.51,False,2,11,4,2022
2022-11-17,Electronics,54396.5,3198,24730.35,False,3,11,4,2022
2022-11-18,Electronics,56091.18,3298,25500.81,False,4,11,4,2022
2022-11-19,Electronics,59192.87,3480,26910.93,False,5,11,4,2022
2022-11-20,Electronics,69330.81,4077,31519.96,False,6,11,4,2022
2022-11-21,Electronics,50358.79,2961,22894.68,False,0,11,4,2022
2022-11-22,Electronics,49593.65,2916,22546.83,False,1,11,4,2022
2022-11-23,Electronics,57863.32,3402,26306.48,False,2,11,4,2022
2022-11-24,Electronics,56550.55,3325,25709.65,False,3,11,4,2022
2022-11-25,Electronics,55937.16,3289,25430.78,False,4,11,4,2022
2022-11-26,Electronics,63987.56,3762,29090.75,False,5,11,4,2022
2022-11-27,Electronics,61721.92,3629,28060.72,False,6,11,4,2022
2022-11-28,Electronics,50550.92,2972,22982.03,False,0,11,4,2022
2022-11-29,Electronics,53942.74,3172,24524.06,False,1,11,4,2022
2022-11-30,Electronics,51296.8,3016,23321.13,False,2,11,4,2022
2022-12-01,Electronics,62438.55,3671,28386.52,True,3,12,4,2022
2022-12-02,Electronics,53141.13,3125,24159.62,False,4,12,4,2022
2022-12-03,Electronics,64984.82,3821,29544.13,True,5,12,4,2022
2022-12-04,Electronics,60582.26,3562,27542.59,False,6,12,4,2022
2022-12-05,Electronics,55110.01,3240,25054.74,False,0,12,4,2022
2022-12-06,Electronics,51701.55,3040,23505.14,False,1,12,4,2022
2022-12-07,Electronics,50810.1,2988,23099.86,False,2,12,4,2022
2022-12-08,Electronics,54557.54,3208,24803.57,False,3,12,4,2022
2022-12-09,Electronics,54582.26,3209,24814.8,False,4,12,4,2022
2022-12-10,Electronics,60036.61,3530,27294.52,False,5,12,4,2022
2022-12-11,Electronics,60193.62,3539,27365.9,False,6,12,4,2022
2022-12-12,Electronics,54618.81,3212,24831.42,False,0,12,4,2022
2022-12-13,Electronics,48772.62,2868,22173.56,False,1,12,4,2022
2022-12-14,Electronics,48952.61,2878,22255.39,False,2,12,4,2022
2022-12-15,Electronics,51405.54,3023,23370.57,False,3,12,4,2022
2022-12-16,Electronics,53217.93,3129,24194.54,False,4,12,4,2022
2022-12-17,Electronics,63203.64,3716,28734.35,False,5,12,4,2022
2022-12-18,Electronics,67339.01,3959,30614.42,False,6,12,4,2022
2022-12-19,Electronics,57122.81,3359,25969.82,False,0,12,4,2022
2022-12-20,Electronics,59038.34,3471,26840.68,True,1,12,4,2022
2022-12-21,Electronics,54176.22,3185,24630.21,False,2,12,4,2022
2022-12-22,Electronics,50800.15,2987,23095.34,False,3,12,4,2022
2022-12-23,Electronics,54313.98,3194,24692.84,False,4,12,4,2022
2022-12-24,Electronics,61609.61,3623,28009.66,False,5,12,4,2022
2022-12-25,Electronics,63837.83,3754,29022.68,False,6,12,4,2022
2022-12-26,Electronics,51714.08,3041,23510.84,False,0,12,4,2022
2022-12-27,Electronics,56511.05,3323,25691.69,False,1,12,4,2022
2022-12-28,Electronics,60145.4,3536,27343.98,False,2,12,4,2022
2022-12-29,Electronics,54491.15,3204,24773.38,False,3,12,4,2022
2022-12-30,Electronics,56372.31,3315,25628.62,False,4,12,4,2022
2022-12-31,Electronics,65739.47,3865,29887.22,False,5,12,4,2022
2023-01-01,Electronics,62036.42,3648,28203.7,False,6,1,1,2023
2023-01-02,Electronics,56055.12,3296,25484.41,False,0,1,1,2023
2023-01-03,Electronics,55423.31,3259,25197.17,False,1,1,1,2023
2023-01-04,Electronics,55832.99,3283,25383.43,False,2,1,1,2023
2023-01-05,Electronics,52900.91,3111,24050.41,False,3,1,1,2023
2023-01-06,Electronics,55810.97,3282,25373.41,False,4,1,1,2023
2023-01-07,Electronics,65967.41,3879,29990.85,False,5,1,1,2023
2023-01-08,Electronics,69447.77,4083,31573.13,False,6,1,1,2023
2023-01-09,Electronics,59459.18,3496,27032.0,False,0,1,1,2023
2023-01-10,Electronics,63770.09,3750,28991.88,False,1,1,1,2023
2023-01-11,Electronics,53683.78,3157,24406.33,False,2,1,1,2023
2023-01-12,Electronics,59561.47,3502,27078.51,False,3,1,1,2023
2023-01-13,Electronics,57292.16,3369,26046.81,False,4,1,1,2023
2023-01-14,Electronics,72979.52,4291,33178.77,False,5,1,1,2023
2023-01-15,Electronics,62657.05,3684,28485.86,False,6,1,1,2023
2023-01-16,Electronics,59866.82,3520,27217.33,True,0,1,1,2023
2023-01-17,Electronics,55153.32,3243,25074.43,False,1,1,1,2023
2023-01-18,Electronics,49975.66,2939,22720.5,False,2,1,1,2023
2023-01-19,Electronics,55730.38,3277,25336.78,False,3,1,1,2023
2023-01-20,Electronics,55077.87,3239,25040.12,False,4,1,1,2023
2023-01-21,Electronics,67113.9,3946,30512.08,False,5,1,1,2023
