loan_id,origination_date,sector,credit_grade,credit_score,loan_amount,annual_income,debt_to_income,interest_rate,collateral_value,ltv_ratio,employment_years,num_defaults_history,monthly_return,volatility_30d,sharpe_ratio,portfolio_weight,risk_score_raw,risk_label
LN000022,2024-07-22,Healthcare,BBB,723,400243.02,131813.73,0.5373,0.0884,512200.31,0.7814,2.3,3,0.215523,0.083823,8.9067,1.1e-05,5.5283,High
LN000023,2025-06-04,Healthcare,B,563,113430.5,27149.26,0.8304,0.1281,87934.71,1.2899,2.8,1,0.094926,0.112342,2.9271,1e-06,5.3489,High
LN000024,2022-12-19,Utilities,B,497,58921.19,33634.72,0.2913,0.1316,64499.89,0.9135,5.5,0,-0.041463,0.209448,-0.6858,0.000187,2.2285,Medium
LN000025,2025-04-06,Consumer,BB,596,33118.5,137828.23,0.1277,0.1119,41533.35,0.7974,0.8,3,-0.026309,0.086515,-1.0534,0.000868,5.316,High
LN000026,2020-04-09,Utilities,B,565,20136.19,54025.02,0.05,0.1305,33272.61,0.6052,7.2,0,0.092419,0.125254,2.556,0.001977,1.0542,Medium
LN000027,2023-03-25,Healthcare,A,719,205437.4,20000.0,1.5,0.0901,185292.58,1.1087,2.8,0,0.05462,0.067417,2.8066,1e-06,2.8717,Medium
LN000028,2022-08-22,Healthcare,AA,821,186423.52,22476.44,1.5,0.0701,185000.06,1.0077,7.0,1,-0.345805,0.109495,-10.9402,9.7e-05,3.9798,High
LN000029,2022-03-03,Energy,A,744,186297.45,50283.95,0.8282,0.0812,308467.06,0.6039,12.6,0,0.035988,0.085182,1.4635,8.3e-05,0.3827,Low
LN000030,2020-01-30,Energy,AA,772,85688.56,26525.72,0.6793,0.0702,168390.02,0.5089,1.3,0,-0.039138,0.165383,-0.8198,1.1e-05,-0.54,Low
LN000031,2021-09-20,Energy,BBB,670,463994.61,44828.68,1.5,0.0957,488449.13,0.9499,18.7,1,-0.125346,0.08275,-5.2472,5.8e-05,5.1867,High
LN000032,2022-08-02,Energy,B,527,57957.75,61247.44,0.2097,0.1251,45898.28,1.2627,5.3,0,0.068202,0.099577,2.3726,0.000256,2.0411,Medium
LN000033,2021-07-26,Healthcare,AAA,845,282319.92,166637.86,0.4096,0.0482,1129279.66,0.25,17.9,0,0.070212,0.034011,7.1512,8e-05,-2.7294,Low
LN000034,2022-06-26,Utilities,AA,776,94597.17,48858.43,0.3435,0.0728,174678.87,0.5415,1.6,0,0.021433,0.059834,1.2409,0.001134,-1.1969,Low
LN000035,2022-12-16,Real Estate,BBB,699,50554.85,126852.37,0.0741,0.0909,61329.28,0.8243,6.5,2,0.083437,0.094776,3.0496,0.000411,2.1307,Medium
LN000036,2021-03-26,Utilities,B,602,189431.61,162776.29,0.2101,0.1327,361998.68,0.5233,3.6,0,0.153962,0.09501,5.6135,0.001183,0.8646,Low
LN000037,2024-05-28,Energy,A,694,154910.02,163409.85,0.1312,0.0825,198951.64,0.7786,10.4,0,-0.065535,0.064065,-3.5436,0.000105,-0.683,Low
LN000038,2023-07-14,Technology,BBB,621,146191.11,73081.33,0.3837,0.088,279157.88,0.5237,6.5,0,-0.144481,0.070364,-7.113,0.002773,0.2328,Low
LN000039,2022-12-14,Real Estate,AAA,843,107948.15,20000.0,1.1349,0.0518,155307.69,0.6951,4.8,0,0.026294,0.061575,1.4792,5.7e-05,0.3649,Low
LN000040,2020-09-11,Finance,AA,752,94685.64,82667.14,0.2574,0.0545,132564.73,0.7143,17.1,3,-0.016442,0.038319,-1.4864,0.001186,2.7859,Medium
LN000041,2020-05-04,Energy,CCC,491,1365743.04,124726.66,1.5,0.1431,1761676.45,0.7753,3.3,0,-0.208996,0.13196,-5.4864,0.000174,5.5816,High
LN000042,2025-04-11,Consumer,CCC,508,363190.33,56571.07,1.2913,0.1444,274781.02,1.3217,1.7,0,-0.031903,0.116187,-0.9512,0.001788,5.7986,High
LN000043,2020-09-08,Finance,AAA,850,218624.21,203050.24,0.2415,0.047,640719.82,0.3412,6.6,0,0.016241,0.028818,1.9522,4.3e-05,-3.1919,Low
LN000044,2021-08-08,Utilities,CCC,495,111633.79,109303.48,0.1642,0.1406,103400.54,1.0796,6.8,2,-0.063016,0.166456,-1.3114,0.000853,5.7657,High
LN000045,2024-04-17,Utilities,BB,605,298902.56,89124.66,0.6553,0.1198,234184.25,1.2764,4.0,0,-0.082943,0.085501,-3.3605,0.000271,2.7332,Medium
LN000046,2022-04-04,Industrial,B,500,174519.93,128087.19,0.2821,0.1225,216349.47,0.8067,4.7,0,-0.040572,0.096996,-1.449,9e-06,1.4968,Medium
LN000047,2021-05-22,Utilities,BBB,670,101602.68,75611.14,0.2826,0.0897,93361.7,1.0883,22.5,0,-0.013749,0.066436,-0.7169,0.000277,-0.4072,Low
LN000048,2022-06-08,Industrial,BBB,671,70691.4,20000.0,0.7229,0.1024,93469.84,0.7563,9.2,0,-0.167703,0.079048,-7.3491,0.000301,1.4552,Medium
LN000049,2020-03-11,Technology,BBB,685,90308.87,42218.03,0.4209,0.1048,160507.58,0.5626,0.8,2,-0.029135,0.085528,-1.18,0.00035,2.6563,Medium
LN000050,2024-05-27,Finance,BB,592,5000.0,138415.82,0.05,0.11,10049.86,0.4975,1.7,2,-0.135417,0.087929,-5.3349,0.000156,3.1669,High
LN000051,2024-03-12,Finance,AA,779,124450.2,34019.39,0.8895,0.0701,232711.14,0.5348,26.0,2,0.02682,0.05844,1.5898,0.0,2.3751,Medium
LN000052,2020-09-04,Utilities,AAA,813,57680.61,51203.81,0.2706,0.0567,68900.83,0.8372,9.1,2,-0.034839,0.02126,-5.6768,6.9e-05,1.0783,Medium
LN000053,2023-12-21,Technology,A,672,569171.46,28813.94,1.5,0.0763,783693.85,0.7263,17.3,1,0.069748,0.088945,2.7164,2.5e-05,4.803,High
LN000054,2020-07-31,Industrial,BB,582,100838.8,208719.35,0.085,0.1076,160240.34,0.6293,2.5,0,-0.071822,0.113918,-2.184,0.000105,0.5027,Low
LN000055,2022-06-28,Energy,A,690,26692.56,194277.87,0.05,0.0862,17836.91,1.4965,9.5,1,-0.106341,0.134667,-2.7355,1.4e-05,2.1476,Medium
LN000056,2024-10-07,Technology,BB,618,93445.33,32250.6,0.573,0.1184,158477.15,0.5896,8.8,0,0.009119,0.135136,0.2338,1e-06,1.2759,Medium
LN000057,2023-05-29,Consumer,CCC,477,31234.13,66377.18,0.1088,0.1428,23537.43,1.327,2.4,0,-0.126632,0.118807,-3.6922,4.7e-05,3.0195,High
LN000058,2024-08-23,Technology,AA,776,166166.93,37184.76,0.7997,0.0606,507314.7,0.3275,5.6,0,0.00409,0.045192,0.3135,2e-05,-0.7206,Low
LN000059,2023-03-28,Healthcare,BB,585,135949.95,92084.44,0.2168,0.1199,156097.5,0.8709,6.9,3,-0.10086,0.107406,-3.253,0.000163,6.1476,High
LN000060,2020-12-27,Industrial,BBB,589,283119.29,85543.32,0.6301,0.0923,354929.17,0.7977,4.6,0,-0.050459,0.067879,-2.5751,5.9e-05,2.1296,Medium
LN000061,2024-01-13,Healthcare,B,587,41358.37,105682.43,0.0886,0.1233,41033.63,1.0079,12.3,1,0.02108,0.102538,0.7122,0.000366,3.4221,High
LN000062,2021-11-09,Industrial,A,704,102478.56,75534.36,0.2594,0.0817,107518.79,0.9531,12.5,0,-0.06875,0.052524,-4.5343,2.6e-05,-0.1985,Low
LN000063,2024-06-09,Industrial,BB,599,21992.92,467326.92,0.0833,0.1178,73726.2,0.2983,13.3,0,-0.134316,0.092135,-5.05,4.5e-05,-0.9128,Low
LN000064,2022-12-25,Finance,B,513,213553.84,29157.09,1.3907,0.1293,419908.51,0.5086,11.4,0,0.005022,0.111059,0.1567,0.000218,3.8823,High
LN000065,2025-06-10,Energy,CCC,514,174688.26,20000.0,1.5,0.1421,126890.19,1.3767,4.7,0,-0.02567,0.114744,-0.775,0.000877,5.8794,High
LN000066,2025-01-21,Energy,BB,613,170311.69,45471.31,0.8251,0.1123,419605.68,0.4059,3.4,0,-0.001216,0.08054,-0.0523,0.000822,1.9397,Medium
LN000067,2022-09-14,Industrial,BBB,649,98891.73,20000.0,0.9955,0.0952,215147.23,0.4596,12.5,0,0.010434,0.090413,0.3998,0.001371,1.132,Medium
LN000068,2024-02-21,Industrial,BB,600,155787.81,21063.07,1.5,0.1128,187918.79,0.829,4.7,1,-0.010109,0.080404,-0.4355,0.000144,4.4204,High
LN000069,2020-04-21,Utilities,B,591,576524.44,29705.27,1.5,0.1124,879801.68,0.6553,2.0,0,0.06098,0.167539,1.2608,0.007184,5.2492,High
LN000070,2024-01-27,Healthcare,BBB,668,72142.33,31397.0,0.4249,0.0935,96801.59,0.7453,5.0,0,-0.006389,0.07001,-0.3161,3.7e-05,0.2751,Low
LN000071,2023-12-24,Utilities,AAA,845,114979.57,30692.31,0.7443,0.0512,341649.85,0.3365,1.1,0,-0.092194,0.041807,-7.6391,2.9e-05,-1.7546,Low
LN000072,2021-01-18,Utilities,B,526,29889.46,86055.98,0.0558,0.1192,29341.11,1.0187,8.2,0,-0.207978,0.10641,-6.7706,4.7e-05,2.2924,Medium
LN000073,2023-10-27,Consumer,BB,562,37983.72,42010.2,0.0831,0.1119,54356.38,0.6988,2.9,0,0.141567,0.081231,6.0371,0.000268,0.2052,Low
LN000074,2022-11-20,Technology,BB,605,109929.51,52803.87,0.4008,0.109,125033.44,0.8792,2.1,0,-0.018746,0.09278,-0.6999,0.001618,1.9683,Medium
LN000075,2022-01-25,Industrial,A,738,332477.31,111967.39,0.6379,0.0888,252991.39,1.3142,21.9,0,0.049368,0.064545,2.6495,0.00076,0.5913,Low
LN000076,2020-11-20,Utilities,BB,637,74465.49,35016.49,0.4523,0.1179,241529.38,0.3083,10.5,0,-0.066743,0.118577,-1.9498,0.000231,-0.3571,Low
LN000077,2024-06-11,Industrial,BBB,613,76152.4,49752.59,0.3371,0.0927,64078.56,1.1884,10.8,1,-0.024986,0.091361,-0.9474,0.000577,3.5171,High
LN000078,2022-02-26,Technology,BB,581,63096.86,77345.06,0.1444,0.1092,93011.45,0.6784,6.8,1,-0.05241,0.081652,-2.2235,8.4e-05,2.4366,Medium
LN000079,2021-01-03,Technology,AA,775,54817.66,20000.0,0.5154,0.0646,36882.31,1.4863,12.8,0,0.091359,0.039693,7.973,0.00054,0.8574,Low
LN000080,2024-12-24,Consumer,BB,609,136553.07,20000.0,1.429,0.1077,157131.83,0.869,10.0,0,0.004888,0.087476,0.1936,0.000417,3.9874,High
LN000081,2020-03-10,Consumer,CCC,486,19015.63,76288.85,0.05,0.141,30388.03,0.6258,6.4,0,-0.082153,0.112475,-2.5302,1.3e-05,1.7785,Medium
LN000082,2022-05-07,Technology,AAA,846,403944.81,84491.82,0.9709,0.0462,392048.15,1.0303,22.7,0,-0.059007,0.032209,-6.3461,0.000205,-0.7502,Low
LN000083,2024-01-23,Industrial,CCC,500,47478.65,253965.6,0.05,0.1343,81044.71,0.5858,1.5,1,0.334383,0.193094,5.9988,0.000128,3.0324,High
LN000084,2024-04-04,Industrial,BBB,647,218402.25,66880.75,0.7262,0.0981,264733.09,0.825,20.1,0,-0.028634,0.079456,-1.2484,9e-06,0.8028,Low
LN000085,2024-08-18,Technology,B,573,24416.19,106278.45,0.0945,0.1281,52419.53,0.4658,3.6,0,0.064913,0.122087,1.8419,0.000504,-0.0561,Low
LN000086,2024-01-14,Industrial,BB,620,206019.1,52217.3,0.7243,0.106,479466.12,0.4297,5.3,0,0.066084,0.102973,2.2231,0.001065,1.4898,Medium
LN000087,2024-12-03,Consumer,BBB,662,206723.84,73722.19,0.5014,0.0995,220673.86,0.9368,0.9,3,-0.070229,0.102931,-2.3635,0.000379,6.1474,High
LN000088,2021-04-23,Technology,BB,650,150636.1,192351.52,0.1856,0.1068,209675.3,0.7184,5.4,1,0.04051,0.08486,1.6537,0.000681,1.6224,Medium
LN000089,2020-10-08,Consumer,B,588,33061.63,20000.0,0.3274,0.1263,48026.6,0.6884,6.6,1,-0.100718,0.123034,-2.8358,0.000316,2.7129,Medium
LN000090,2024-07-05,Industrial,BBB,693,129897.77,79979.96,0.3021,0.0991,224637.38,0.5783,40.0,0,-0.130633,0.107632,-4.2044,6.6e-05,-1.6174,Low
LN000091,2024-04-05,Industrial,A,654,26866.57,266975.11,0.0709,0.0798,36475.31,0.7366,25.9,0,0.053129,0.053763,3.4232,2.2e-05,-1.1155,Low
LN000092,2024-09-25,Finance,BB,649,74754.18,72942.3,0.2143,0.1123,108884.7,0.6865,23.8,0,-0.031202,0.088518,-1.2211,0.000547,0.1437,Low
LN000093,2020-07-29,Healthcare,B,569,306310.45,190118.16,0.3249,0.1224,375116.46,0.8166,3.0,0,0.0463,0.165199,0.9709,0.000114,2.0673,Medium
LN000094,2020-10-24,Healthcare,BB,660,237131.97,38543.84,1.2694,0.109,335195.11,0.7074,33.2,0,0.021325,0.110354,0.6694,0.001126,2.4173,Medium
LN000095,2025-02-27,Real Estate,BB,640,100378.29,58545.92,0.3241,0.109,227721.19,0.4408,4.3,0,0.03836,0.086642,1.5337,0.000573,-0.0227,Low
LN000096,2025-01-07,Consumer,BBB,709,33782.99,61295.84,0.1887,0.0913,59050.37,0.5721,13.4,0,-0.143887,0.0816,-6.1083,0.0,-1.1673,Low
LN000097,2021-10-13,Technology,B,571,200816.43,20000.0,1.5,0.1241,358846.05,0.5596,1.7,1,-0.082932,0.105361,-2.7267,0.000366,6.0619,High
LN000098,2023-05-18,Healthcare,AA,823,100842.92,26430.54,0.7959,0.0573,181779.1,0.5548,4.9,0,-0.025494,0.048466,-1.8222,0.000735,-0.3138,Low
LN000099,2024-02-11,Industrial,BBB,719,7689.82,27783.22,0.127,0.0925,9760.8,0.7878,23.7,0,-0.075763,0.073775,-3.5574,0.000529,-1.0722,Low
LN000100,2025-04-15,Utilities,AAA,850,233489.6,106451.66,0.3698,0.0486,358048.46,0.6521,20.6,0,0.007473,0.026552,0.975,6.3e-05,-2.5863,Low
LN000101,2022-07-05,Energy,A,690,96119.15,110250.15,0.1572,0.0787,84059.02,1.1435,8.1,0,0.070828,0.072464,3.3859,0.000692,0.4803,Low
LN000102,2022-09-20,Technology,BBB,662,370532.48,75118.75,1.0436,0.0938,830862.37,0.446,11.2,0,0.107266,0.09515,3.9052,0.00012,1.2554,Medium
LN000103,2021-03-05,Consumer,BBB,679,29590.32,106603.54,0.1134,0.0947,13121.64,2.2551,1.4,0,-0.060135,0.106423,-1.9574,0.001144,2.7506,Medium
LN000104,2023-10-02,Industrial,BB,611,5000.0,53374.88,0.05,0.1124,6518.07,0.7671,9.0,0,0.008697,0.083376,0.3613,1.7e-05,0.1654,Low
LN000105,2020-08-27,Industrial,BBB,638,134187.35,138878.14,0.1565,0.0994,285886.64,0.4694,6.7,0,0.022789,0.099616,0.7925,0.000263,-0.9095,Low
LN000106,2022-05-29,Energy,BBB,629,136042.15,60243.62,0.4994,0.0918,106422.56,1.2783,0.7,0,0.030417,0.070882,1.4865,9.6e-05,2.685,Medium
LN000107,2021-09-12,Consumer,A,711,15371.36,62349.12,0.1085,0.074,24347.23,0.6313,0.8,0,-0.065877,0.061149,-3.7319,0.0,-0.9545,Low
LN000108,2020-09-13,Real Estate,BBB,690,33646.04,49716.15,0.0771,0.0898,34590.83,0.9727,0.8,0,0.176788,0.111343,5.5002,0.000184,-0.2971,Low
LN000109,2021-09-03,Technology,A,769,2000000.0,96675.5,1.5,0.0776,2329435.29,0.8586,9.0,0,0.045384,0.062121,2.5308,0.000456,1.7027,Medium
LN000110,2021-06-28,Industrial,AA,812,70532.46,44585.36,0.3277,0.0632,138996.59,0.5074,1.1,0,0.030978,0.03939,2.7243,7.1e-05,-2.2338,Low
LN000111,2022-02-10,Real Estate,BB,636,220588.64,118598.84,0.4035,0.1062,322312.76,0.6844,4.4,1,0.08427,0.083484,3.4967,0.0,2.2374,Medium
LN000112,2023-11-20,Finance,BB,607,48255.94,27105.6,0.3411,0.1035,28869.24,1.6715,3.1,0,0.030357,0.09281,1.1331,0.002595,3.5216,High
LN000113,2022-11-07,Industrial,BB,566,9903.73,27743.55,0.1054,0.1077,9046.17,1.0948,5.6,0,-0.13539,0.108766,-4.312,0.000292,1.1257,Medium
LN000114,2024-11-24,Finance,BBB,658,81855.92,96877.13,0.1335,0.0959,163219.34,0.5015,8.6,2,-0.072164,0.182599,-1.369,0.00113,2.8973,High
LN000115,2022-01-29,Utilities,BBB,663,73705.67,56275.75,0.1562,0.098,119063.48,0.619,8.1,1,-0.179073,0.095968,-6.4639,6.3e-05,1.0105,Medium
LN000116,2021-01-17,Finance,B,537,63585.07,43576.62,0.2706,0.1222,172713.28,0.3682,5.1,3,0.025939,0.136913,0.6563,2.6e-05,5.0164,High
LN000117,2023-01-08,Technology,BBB,671,87020.16,111640.64,0.1591,0.0929,230257.64,0.3779,4.4,0,-0.035683,0.092553,-1.3355,0.000387,-1.0188,Low
LN000118,2022-08-31,Utilities,BBB,681,132018.2,39140.66,0.6608,0.0904,155406.11,0.8495,3.6,0,-0.029981,0.110159,-0.9428,0.0,0.709,Low
LN000119,2020-12-18,Technology,AAA,850,83689.71,52044.75,0.2637,0.0498,307480.35,0.2722,13.9,0,0.023668,0.021587,3.798,0.000265,-3.5397,Low
LN000120,2024-05-24,Energy,BBB,663,24577.66,159445.84,0.05,0.0908,33502.83,0.7336,2.8,0,-0.081888,0.118166,-2.4006,4e-06,-0.7191,Low
LN000121,2024-12-30,Industrial,BBB,622,168518.91,175852.29,0.166,0.0979,154776.26,1.0888,2.1,3,-0.033307,0.075097,-1.5364,8.5e-05,4.6188,High
LN000122,2022-11-02,Technology,BBB,657,11564.45,179993.99,0.0577,0.0861,12115.43,0.9545,9.5,0,-0.025057,0.115922,-0.7488,5.1e-05,0.5332,Low
LN000123,2023-01-12,Technology,BB,611,10348.6,49144.09,0.1049,0.1082,5664.18,1.827,3.1,2,-0.165553,0.081575,-7.0302,0.000128,5.4955,High
LN000124,2021-05-09,Energy,BBB,700,222592.62,141703.49,0.3736,0.0965,571435.07,0.3895,13.1,0,-0.042973,0.090122,-1.6518,0.004437,-0.9771,Low
LN000125,2021-01-28,Energy,BB,595,172425.8,30814.27,1.0783,0.1109,440482.98,0.3914,2.8,0,-0.287757,0.106613,-9.3499,0.000346,2.4742,Medium
LN000126,2024-03-26,Industrial,BB,622,92676.03,31734.76,0.5264,0.1235,83338.18,1.112,8.5,2,-0.162917,0.195597,-2.8853,0.000203,4.6298,High
LN000127,2021-04-09,Real Estate,B,557,21269.02,20000.0,0.2375,0.1267,26208.86,0.8115,0.3,1,0.079569,0.124294,2.2176,0.000398,2.1089,Medium
LN000128,2022-06-05,Consumer,BB,611,45310.68,193108.55,0.0787,0.105,63547.38,0.713,3.4,3,0.02195,0.089644,0.8482,0.000559,6.0158,High
LN000129,2023-04-08,Healthcare,CCC,513,73937.73,32702.74,0.4722,0.1395,67971.06,1.0878,2.9,1,-0.101384,0.126295,-2.7808,0.000118,4.8917,High
LN000130,2021-01-01,Industrial,AAA,833,17060.42,54799.0,0.05,0.0411,11412.63,1.4949,11.9,0,-0.004124,0.029132,-0.4904,0.001519,-1.5931,Low
LN000131,2025-03-08,Healthcare,A,715,43785.96,31658.85,0.2333,0.0796,54335.09,0.8059,23.9,0,-0.068116,0.054364,-4.3404,8e-06,-1.7553,Low
LN000132,2025-02-16,Utilities,AAA,849,202311.4,97403.33,0.4139,0.0458,240177.04,0.8423,4.3,2,-0.003955,0.025714,-0.5328,0.000321,0.8525,Low
LN000133,2022-01-14,Utilities,BB,593,474509.02,46030.36,1.5,0.1146,548351.29,0.8653,12.2,0,0.23318,0.085021,9.5007,2.2e-05,4.7336,High
LN000134,2021-06-13,Consumer,B,562,62231.82,24019.67,0.5565,0.1223,91831.27,0.6777,8.4,0,0.181644,0.110918,5.673,0.000197,2.596,Medium
LN000135,2022-03-13,Finance,A,712,226871.08,81565.67,0.5635,0.0794,542500.92,0.4182,24.0,0,-0.017458,0.097323,-0.6214,8.9e-05,-0.5326,Low
LN000136,2023-05-08,Real Estate,B,555,12022.48,21947.07,0.1261,0.1218,14375.73,0.8363,11.7,0,-0.009956,0.143774,-0.2399,0.000185,0.7284,Low
LN000137,2025-06-01,Industrial,AA,787,203902.33,33316.76,1.2283,0.0737,294658.86,0.692,0.6,0,-0.040085,0.036126,-3.8436,5.6e-05,1.6643,Medium
LN000138,2025-03-20,Technology,B,555,40768.16,20000.0,0.442,0.1234,73600.34,0.5539,8.7,1,-0.096222,0.096665,-3.4482,0.001134,3.2087,High
LN000139,2024-08-26,Energy,BBB,658,138424.48,22097.71,1.2685,0.1042,233219.97,0.5935,5.4,0,0.013072,0.070624,0.6412,0.003998,2.6637,Medium
LN000140,2024-03-24,Industrial,AA,781,75167.36,67844.28,0.2249,0.0691,79356.29,0.9472,0.1,0,-0.027973,0.040889,-2.3699,7.6e-05,-0.7554,Low
LN000141,2023-08-06,Energy,BBB,672,421871.23,20000.0,1.5,0.0974,591848.67,0.7128,2.0,1,0.048592,0.066994,2.5126,9.1e-05,4.0741,High
LN000142,2020-11-02,Finance,A,735,37726.6,21230.58,0.3595,0.0818,63394.77,0.5951,17.8,0,0.082793,0.059836,4.7931,8.7e-05,-1.5189,Low
LN000143,2024-07-24,Energy,A,729,196883.39,59774.94,0.683,0.082,169232.09,1.1634,18.2,1,0.00904,0.067721,0.4624,0.001084,2.1217,Medium
LN000144,2022-05-12,Finance,A,772,72587.05,40924.13,0.3681,0.0704,162422.69,0.4469,11.2,0,-0.007472,0.067263,-0.3848,0.000124,-1.1312,Low
LN000145,2024-04-15,Real Estate,B,525,82939.27,241451.92,0.0877,0.1236,198491.1,0.4178,28.0,2,-0.208933,0.11068,-6.5392,0.000462,2.582,Medium
LN000146,2021-06-14,Consumer,BBB,668,80640.86,216149.93,0.1418,0.0992,81523.66,0.9892,11.5,0,0.041065,0.07327,1.9415,0.00011,0.0009,Low
LN000147,2021-10-16,Finance,A,690,38939.31,32612.61,0.2521,0.0798,56796.36,0.6856,0.1,0,-0.100928,0.074515,-4.692,0.000156,-0.4446,Low
LN000148,2023-06-13,Utilities,BB,619,97196.61,88432.63,0.1874,0.103,169634.68,0.573,2.4,1,-0.074011,0.11503,-2.2288,2.8e-05,2.1375,Medium
LN000149,2020-08-21,Healthcare,BB,582,92142.07,101163.95,0.2263,0.1097,99991.58,0.9215,0.2,1,0.067518,0.088501,2.6428,0.000186,3.1381,High
LN000150,2020-04-30,Utilities,A,723,128716.07,39409.6,0.5849,0.0885,210661.91,0.611,0.7,0,0.04517,0.051788,3.0214,0.000344,-0.3357,Low
LN000151,2024-08-24,Industrial,BBB,660,108331.98,21017.71,0.9768,0.1012,156100.91,0.694,1.7,3,-0.046775,0.072029,-2.2495,1.1e-05,7.0084,High
LN000152,2022-08-07,Utilities,AA,797,237469.39,59360.9,0.8169,0.0647,178193.75,1.3326,4.9,0,-0.021516,0.037955,-1.9637,0.00018,0.5386,Low
LN000153,2021-09-09,Utilities,A,716,272626.9,53050.95,1.0536,0.0848,442202.86,0.6165,13.2,2,-0.055492,0.062598,-3.0709,0.001004,4.4261,High
LN000154,2023-03-24,Utilities,BB,595,31079.83,44133.08,0.0786,0.1082,27017.97,1.1503,13.9,0,-0.115893,0.083391,-4.8143,0.000515,0.755,Low
LN000155,2020-11-03,Finance,A,765,256696.5,81603.04,0.61,0.0715,504503.92,0.5088,6.7,0,-0.052402,0.062429,-2.9077,0.002766,-0.443,Low
LN000156,2020-05-15,Industrial,BBB,677,26769.81,35400.79,0.1209,0.0904,27626.91,0.969,18.4,0,-0.126378,0.069995,-6.2545,0.001126,-0.1658,Low
LN000157,2021-07-08,Consumer,BB,595,188460.08,26731.6,1.3857,0.1178,238500.65,0.7902,4.9,0,0.050746,0.106844,1.6453,0.000248,3.8989,High
