customer_id,age,gender,region,customer_segment,tenure_months,monthly_spend,num_products,login_frequency,support_tickets,satisfaction_score,days_since_last_purchase,discount_used,churned
CUST00190,45.0,Male,East,Premium,105,4225.55,5,10,1,4,45,1,0
CUST00191,42.0,Male,West,Standard,82,1246.57,2,8,2,4,212,0,0
CUST00192,56.0,Male,West,Basic,67,876.47,2,7,2,5,71,0,0
CUST00193,50.0,Female,East,Premium,10,6788.91,4,11,3,3,263,0,1
CUST00194,18.0,Female,Central,Basic,49,884.15,3,12,0,4,58,1,0
CUST00195,44.0,Male,East,Premium,103,3591.4,3,12,1,4,57,1,0
CUST00196,69.0,Male,Central,Premium,111,3672.37,3,10,1,4,111,0,0
CUST00197,30.0,Female,South,Premium,65,4990.54,5,12,1,3,142,1,0
CUST00198,,Male,East,Basic,91,339.73,1,19,3,5,56,0,0
CUST00199,20.0,Male,Central,Premium,57,4272.57,5,11,1,5,12,0,0
CUST00200,56.0,Other,East,Premium,27,5102.72,4,13,0,1,349,1,1
CUST00201,23.0,Male,East,Standard,75,639.65,2,10,4,5,15,1,0
CUST00202,25.0,Female,Central,Basic,113,704.19,3,17,3,5,8,0,0
CUST00203,44.0,Other,Central,Standard,5,2798.87,3,11,1,2,231,1,1
CUST00204,26.0,Male,North,Standard,71,2326.41,1,17,1,2,186,0,0
CUST00205,54.0,Male,East,Premium,83,3353.34,1,9,1,3,53,1,0
CUST00206,50.0,Male,West,Standard,57,2849.83,5,12,2,4,137,1,0
CUST00207,68.0,Female,East,Basic,93,827.16,2,15,1,4,174,1,0
CUST00208,59.0,Female,East,Basic,15,1217.33,2,11,2,3,348,1,0
CUST00209,61.0,Female,Central,Standard,99,2883.23,3,12,1,4,219,0,0
CUST00210,41.0,Male,East,Standard,111,3456.04,2,9,1,3,263,1,0
CUST00211,32.0,Female,East,Premium,101,5956.7,1,12,1,2,255,0,1
CUST00212,49.0,Female,West,Standard,119,2454.88,3,11,6,4,300,1,1
CUST00213,49.0,Female,Central,Premium,76,4931.52,3,12,2,3,270,1,0
CUST00214,,Female,East,Basic,30,765.31,1,9,0,4,75,1,0
CUST00215,58.0,Female,South,New,20,187.54,5,13,1,5,224,1,0
CUST00216,69.0,Female,North,New,37,555.06,1,20,1,2,92,0,0
CUST00217,66.0,Female,West,New,3,480.78,2,8,5,1,134,0,1
CUST00218,66.0,Male,East,Basic,73,1452.99,1,12,1,2,163,0,0
CUST00219,69.0,Male,South,Basic,41,1338.71,3,13,1,4,198,1,0
CUST00220,29.0,Female,East,Standard,39,1760.2,2,15,3,4,189,1,0
CUST00221,56.0,Male,East,Basic,26,807.44,2,8,2,4,73,1,0
CUST00222,19.0,Female,Central,Standard,2,1819.93,4,13,5,4,206,0,1
CUST00223,20.0,Other,Central,Standard,23,2917.78,1,6,1,4,31,1,0
CUST00224,66.0,Female,Central,Basic,23,901.2,3,15,0,3,119,1,0
CUST00225,54.0,Male,South,Standard,85,,2,16,3,4,283,1,0
CUST00226,66.0,Male,East,Standard,16,883.55,5,7,2,4,159,1,0
CUST00227,34.0,Male,North,New,9,517.25,2,7,2,3,255,0,1
CUST00228,66.0,Female,West,Premium,13,4666.93,1,11,1,5,245,1,0
CUST00229,19.0,Female,Central,Standard,28,1844.73,1,5,3,4,106,1,0
CUST00230,19.0,Female,Central,New,27,776.63,4,15,1,3,198,0,0
CUST00231,45.0,Male,East,Basic,51,457.71,4,7,0,4,120,1,0
CUST00232,40.0,Female,East,Standard,64,1821.4,2,15,1,5,82,1,0
CUST00233,54.0,Female,South,Standard,52,2667.51,3,17,2,1,308,1,1
CUST00234,49.0,Male,South,Standard,81,2595.6,2,15,1,3,270,1,0
CUST00235,50.0,Female,Central,New,38,100.0,5,10,0,4,187,1,0
CUST00236,18.0,Male,East,Basic,100,1017.9,5,11,2,4,276,0,0
CUST00237,36.0,Male,North,Standard,65,2820.62,5,13,2,3,52,1,0
CUST00238,19.0,Female,West,Premium,18,5860.34,4,17,3,5,357,0,0
CUST00239,61.0,Male,East,Premium,63,3014.02,4,10,2,4,296,1,0
CUST00240,43.0,Female,East,New,51,521.87,1,14,0,5,68,0,0
CUST00241,49.0,Female,South,Standard,9,2820.18,4,16,0,3,300,0,1
CUST00242,23.0,Female,West,Basic,13,945.7,3,13,0,5,134,1,0
CUST00243,49.0,Male,Central,Premium,40,4342.11,5,10,1,4,343,0,0
CUST00244,21.0,Female,East,Basic,55,986.9,2,14,2,3,120,0,0
CUST00245,28.0,Female,Central,New,109,589.8,1,10,2,5,57,1,0
CUST00246,34.0,Female,East,Basic,79,938.47,2,9,2,2,186,0,0
CUST00247,55.0,Male,Central,Premium,43,4140.71,3,12,0,5,72,0,0
CUST00248,41.0,Male,West,Basic,44,682.04,1,10,1,4,158,0,0
CUST00249,22.0,Female,South,Basic,110,409.77,2,14,1,5,228,1,0
CUST00250,69.0,Male,West,Standard,68,1761.57,2,11,1,4,308,0,0
CUST00251,51.0,Female,North,New,33,967.73,2,10,2,5,234,1,0
CUST00252,23.0,Female,South,Basic,24,425.12,2,13,1,1,11,0,1
CUST00253,39.0,Female,West,New,36,584.85,1,17,1,4,175,0,0
CUST00254,28.0,Female,North,Basic,115,553.69,5,9,2,4,261,0,0
CUST00255,65.0,Female,East,Premium,105,4887.02,3,9,1,5,131,1,0
CUST00256,33.0,Female,East,Standard,10,2883.56,1,13,0,3,2,1,0
CUST00257,50.0,Female,Central,Standard,100,1915.33,3,11,2,4,249,0,0
CUST00258,26.0,Female,South,New,20,473.38,3,12,2,4,200,0,0
CUST00259,23.0,Male,East,Basic,105,714.92,1,14,4,2,182,1,0
CUST00260,33.0,Male,South,Basic,109,892.28,2,11,4,4,350,1,0
CUST00261,46.0,Female,East,Standard,108,2764.28,3,20,2,5,127,0,0
CUST00262,20.0,Male,Central,Premium,75,3061.27,2,12,1,3,297,0,0
CUST00263,37.0,Male,West,Basic,12,383.24,3,13,3,4,197,1,0
CUST00264,53.0,Male,Central,Standard,62,2584.53,2,13,0,5,286,1,0
CUST00265,36.0,Female,North,Standard,18,2058.1,1,9,2,1,44,0,0
CUST00266,43.0,Female,East,Basic,94,502.66,5,13,0,4,10,0,0
CUST00267,20.0,Female,North,Premium,108,5091.53,1,12,2,4,225,1,0
CUST00268,36.0,Female,North,Standard,112,1759.53,3,11,2,5,216,0,0
CUST00269,37.0,Female,South,Standard,101,1924.97,1,14,3,4,211,0,0
CUST00270,49.0,Male,East,Premium,63,4840.11,2,18,2,4,286,1,0
CUST00271,24.0,Female,North,New,84,497.72,2,9,2,2,217,1,1
CUST00272,69.0,Male,West,Standard,25,2283.42,1,7,1,4,331,1,0
CUST00273,58.0,Female,North,Premium,12,3716.13,2,12,0,5,49,1,0
CUST00274,50.0,Female,West,Standard,21,1673.67,1,8,0,2,163,1,0
CUST00275,57.0,Male,South,Basic,25,725.13,2,14,1,1,193,0,0
CUST00276,56.0,Male,North,Standard,11,1185.88,3,7,4,5,145,0,0
CUST00277,35.0,Male,Central,Basic,64,677.72,1,13,0,4,159,0,0
CUST00278,57.0,Male,South,Premium,73,4597.26,4,14,0,4,326,1,0
CUST00279,18.0,Male,West,Premium,50,5830.04,1,14,0,5,180,1,0
CUST00280,28.0,Female,South,Standard,62,2673.33,1,17,1,5,26,0,0
CUST00281,45.0,Female,North,Basic,89,851.21,3,3,1,5,100,0,0
CUST00282,42.0,Female,East,New,99,710.51,2,10,1,5,111,1,0
CUST00283,,Female,East,Premium,116,5634.72,2,13,1,4,270,0,0
CUST00284,40.0,Female,West,Standard,96,2148.95,1,14,0,5,51,1,0
CUST00285,48.0,Female,West,New,49,804.2,4,7,1,4,15,1,0
CUST00286,47.0,Male,East,Standard,14,1964.35,3,8,2,5,128,0,0
CUST00287,59.0,Female,West,Basic,1,1050.75,1,13,2,5,140,0,0
CUST00288,52.0,Male,South,Premium,81,3628.13,2,14,0,3,242,0,0
CUST00289,24.0,Other,Central,New,25,569.99,4,8,2,3,46,0,0
CUST00290,33.0,Female,Central,Basic,59,581.7,2,13,1,3,234,1,0
CUST00291,43.0,Female,South,New,72,323.67,1,19,1,5,72,0,0
CUST00292,65.0,Male,Central,Basic,69,959.91,2,10,2,5,95,1,0
CUST00293,69.0,Female,North,Standard,5,1799.68,1,10,0,4,285,1,1
CUST00294,66.0,Female,South,New,105,686.75,2,12,1,4,132,1,0
CUST00295,19.0,Male,West,Standard,99,3259.87,4,14,1,5,281,1,0
CUST00296,18.0,Male,South,Standard,19,2488.41,2,18,2,3,32,0,0
CUST00297,65.0,Female,East,Basic,23,1263.01,2,11,0,2,356,0,1
CUST00298,29.0,Male,West,Basic,9,983.49,4,17,0,4,37,1,0
CUST00299,22.0,Female,East,New,118,653.74,2,15,0,5,126,0,0
CUST00300,54.0,Male,West,Standard,94,2277.62,2,12,1,5,138,0,0
CUST00301,49.0,Male,Central,Basic,50,1167.66,1,12,3,4,100,1,0
CUST00302,26.0,Female,South,Basic,16,965.44,3,8,2,2,242,0,1
CUST00303,58.0,Male,North,Premium,33,3579.18,2,10,2,4,245,0,0
CUST00304,52.0,Female,West,Standard,2,2208.17,2,11,1,5,27,1,0
CUST00305,36.0,Male,West,Standard,14,2297.1,5,12,0,4,209,0,0
CUST00306,65.0,Male,East,Standard,110,3180.63,4,6,0,4,99,0,0
CUST00307,33.0,Female,Central,New,1,488.85,3,6,0,2,137,0,1
CUST00308,20.0,Female,East,Basic,90,1266.13,2,8,2,5,187,1,0
CUST00309,37.0,Female,East,Basic,58,1174.88,2,11,1,3,36,1,0
CUST00310,41.0,Female,Central,New,89,486.81,1,6,3,3,118,1,0
CUST00311,50.0,Female,North,Standard,16,2484.83,2,10,1,5,158,0,0
CUST00312,41.0,Male,East,Basic,79,1078.97,3,14,1,5,275,0,0
CUST00313,69.0,Male,East,Standard,90,1916.19,2,19,1,4,169,1,0
CUST00314,28.0,Female,West,New,47,463.66,4,14,3,4,55,1,0
CUST00315,66.0,Female,Central,Premium,44,4913.78,1,9,2,3,84,1,0
CUST00316,25.0,Female,South,New,80,515.16,2,16,4,1,6,1,0
CUST00317,53.0,Male,North,Standard,14,2091.41,3,13,1,3,363,1,0
CUST00318,55.0,Male,North,Standard,93,2574.04,2,14,2,4,344,0,0
CUST00319,57.0,Female,Central,Basic,24,694.49,4,16,3,3,256,0,0
CUST00320,37.0,Female,West,Standard,111,1764.37,5,8,3,5,198,1,0
CUST00321,52.0,Female,West,Basic,55,1023.13,1,9,0,3,152,0,0
CUST00322,65.0,Female,Central,Standard,15,3703.16,1,9,2,4,318,0,0
CUST00323,42.0,Female,West,Basic,83,937.66,1,15,1,4,170,1,0
CUST00324,52.0,Male,North,Standard,72,2283.33,3,9,2,4,248,0,0
CUST00325,42.0,Male,North,Premium,34,4917.35,2,12,2,3,249,0,0
CUST00326,46.0,Male,South,Standard,2,1857.03,3,12,0,5,150,1,0
CUST00327,35.0,Male,Central,Standard,27,2963.65,2,10,3,4,210,0,0
CUST00328,,Female,East,Premium,74,3703.93,3,12,6,4,228,1,1
CUST00329,35.0,Male,East,Standard,99,1955.36,3,11,1,4,244,0,0
CUST00330,19.0,Female,South,Standard,87,2013.27,2,13,2,2,141,1,0
CUST00331,52.0,Male,South,Premium,113,4857.8,2,10,0,4,120,0,0
CUST00332,33.0,Male,West,Basic,72,677.43,1,13,1,4,293,1,0
CUST00333,58.0,Male,South,New,92,498.95,2,9,3,5,180,0,0
CUST00334,53.0,Male,South,Premium,23,3139.86,2,6,1,5,125,1,0
CUST00335,50.0,Female,East,Basic,68,1095.99,2,14,3,3,242,1,0
CUST00336,21.0,Male,West,Basic,14,843.13,4,11,2,2,212,0,1
CUST00337,50.0,Female,South,Standard,63,1755.66,4,15,2,3,17,0,0
CUST00338,31.0,Male,South,Basic,117,670.58,4,18,2,5,16,1,0
CUST00339,38.0,Male,West,Standard,106,2887.82,2,17,1,1,341,0,1
CUST00340,65.0,Male,Central,Standard,93,2028.17,3,14,1,4,257,1,0
CUST00341,37.0,Female,West,Premium,65,5401.08,2,8,0,4,286,0,0
CUST00342,25.0,Female,East,Basic,68,1038.76,1,12,1,4,280,1,0
CUST00343,24.0,Male,Central,Basic,63,,2,5,0,3,46,1,0
CUST00344,20.0,Male,North,Premium,96,4980.75,1,13,1,3,258,0,0
CUST00345,34.0,Female,West,Standard,97,2770.67,2,5,1,4,143,0,0
CUST00346,50.0,Male,East,New,113,266.86,2,13,3,2,285,0,1
CUST00347,65.0,Male,Central,Standard,90,1187.95,5,12,2,2,355,1,1
CUST00348,29.0,Female,West,Standard,81,2748.36,2,12,1,2,318,1,1
CUST00349,68.0,Female,South,New,103,626.56,4,6,2,4,13,1,0
CUST00350,39.0,Male,West,Basic,87,1628.68,1,8,1,4,321,0,0
CUST00351,39.0,Female,North,Basic,64,862.09,1,15,2,3,45,0,0
